book,lag,costs,positions,gross_vega,total_pnl,sharpe,annual_pnl_per_gross_vega,max_drawdown,annual_turnover,total_cost,market_loading,market_t,intercept_t
quantile,0,gross,95.53640500568828,19506.317567018188,1866271.592058054,1.411214999222692,13.714539355498067,-397681.50621746015,68.2113459962159,0.0,-0.08891905926314193,-7.062504238039574,3.924763616000423
mvo,0,gross,488.24175199089876,19536.828649820025,2165059.7992782113,0.8428199664040311,15.885375994295467,-540092.1887095484,33.93344711398677,0.0,-0.0783399300431806,-3.3935610165445245,2.3270274985070136
mvo_factor_neutral,0,gross,488.24175199089876,19533.165915773072,1806035.92996667,0.7486470717888097,13.253647542955829,-511359.4432380608,33.67535507004767,0.0,-0.07412608800061367,-3.363362989468756,2.0461477840383746
quantile,1,gross,95.44754846066135,19485.590169015704,328107.6286052613,0.22960059393248114,2.419210817280312,-515881.5534321308,68.64141314783824,0.0,-0.07695642632165287,-5.561615029918394,0.6302840657243546
quantile,1,net,95.44754846066135,19485.590169015704,-51272067.69029311,-6.773626900528463,-378.04040493649313,-51247605.72031553,68.64141314783824,51600175.31889837,-0.26389416223908263,-3.5821905671976255,-17.878793856080726
mvo,1,gross,488.1596351197263,19505.409850777163,796302.0022543326,0.35667677117980623,5.865346578032389,-578100.0603999199,34.0657210851285,0.0,-0.08658522122144463,-4.158539038134918,0.8892371396259015
mvo,1,net,488.1596351197263,19505.409850777163,-46754711.31596014,-5.800856551889397,-344.3826403143605,-46709704.07322591,34.0657210851285,47551013.31821447,-0.21202078372665156,-2.7082990087395706,-15.353904635971542
mvo_factor_neutral,1,gross,488.1596351197263,19508.1463690074,478962.9570244457,0.2259133150730824,3.5274175612858376,-620304.9893938922,33.96786833061925,0.0,-0.0855096674811598,-4.29956910784249,0.574702295935414
mvo_factor_neutral,1,net,488.1596351197263,19508.1463690074,-46498623.04940651,-5.886746347416081,-342.4483190496827,-46454662.07657409,33.96786833061925,46977586.00643096,-0.20824529864586416,-2.7154911571735,-15.574493757094011
