date,net_pnl,gross_vega,net_vega,positions,book
2018-07-09,0.0,20000.0,0.0,92,quantile
2018-07-10,-1051.0772526276908,19379.549294651333,-196.19953755420184,92,quantile
2018-07-11,-4397.498422568349,19265.091831620804,-191.3443378127646,92,quantile
2018-07-12,12838.763626028967,18858.088639590227,-252.9896363786949,92,quantile
2018-07-13,-945.077683525622,18449.88911801174,-123.9907397272811,92,quantile
2018-07-16,-3750.0647160437943,20000.0,-1.7053025658242404e-13,92,quantile
2018-07-17,2508.435962261304,19187.15572710143,94.31266466044721,92,quantile
2018-07-18,-3815.8449596331375,18497.977062863065,42.92719659395257,92,quantile
2018-07-19,4019.8463893187,17873.884938845134,-281.93635033870476,92,quantile
2018-07-20,6493.149866099214,17453.509932655656,-428.7710189193459,92,quantile
2018-07-23,-4647.358857687264,20000.0,2.842170943040401e-14,92,quantile
2018-07-24,1828.6016679514216,19096.513194407158,-214.92837703730882,92,quantile
2018-07-25,-12807.330250967947,17043.345654219574,-1030.13759225152,92,quantile
2018-07-26,-1373.5663799628628,16519.223827819023,-1068.1297044559055,92,quantile
2018-07-27,7574.032058239627,16192.959334266103,-702.2562824814194,92,quantile
2018-07-30,-27216.662259216922,20000.0,2.842170943040401e-14,92,quantile
2018-07-31,4293.989232740929,19549.761293133404,-57.71289052048337,92,quantile
2018-08-01,-6748.44513995263,19227.188953239187,135.51798817586948,92,quantile
2018-08-02,-775.9830806009428,18720.076369423732,191.84491405068178,92,quantile
2018-08-03,-3812.0474810056403,18011.85802224026,496.7550637387776,92,quantile
2018-08-06,5117.037712697884,20000.0,2.842170943040401e-14,94,quantile
2018-08-07,-17291.299005313824,19471.98305801571,-92.70880869347295,94,quantile
2018-08-08,14328.769854475835,19086.835026929715,214.6991365640931,94,quantile
2018-08-09,-3601.280323402705,18090.858627374866,-85.14655082251193,94,quantile
2018-08-10,-12015.170345080893,18770.353333554845,922.7562217236485,94,quantile
2018-08-13,-15438.857003175382,20000.0,-1.4210854715202004e-13,92,quantile
2018-08-14,22716.497078889606,19241.2371039909,362.0214371187682,92,quantile
2018-08-15,-16660.976131315427,19063.39141875223,354.4197798343604,92,quantile
2018-08-16,3995.5433346470936,18355.726069178527,287.3341965937939,92,quantile
2018-08-17,-3249.480690725486,17494.14642147942,-85.96083055117387,92,quantile
2018-08-20,28701.971946643716,20000.0,-2.2737367544323206e-13,92,quantile
2018-08-21,6447.615657434974,19777.34969447113,196.49375937064633,92,quantile
2018-08-22,-459.4290517060963,18851.355466586087,241.40457776666977,92,quantile
2018-08-23,-3243.9217984040934,19641.476636300467,2636.6405345051917,92,quantile
2018-08-24,5261.171900230577,19043.233593438657,1942.0605693795187,92,quantile
2018-08-27,-1356.0619532693981,20000.0,2.2737367544323206e-13,94,quantile
2018-08-28,3472.6236645766303,18697.435822272382,-164.03808148070829,94,quantile
2018-08-29,-773.4293627294321,17835.949760701966,190.88089226464197,94,quantile
2018-08-30,-13049.00776344668,17298.08637365149,361.3174975617425,94,quantile
2018-08-31,8894.805597453313,16447.905051290807,676.1742374801316,94,quantile
2018-09-04,-5369.220600851927,20000.0,5.684341886080802e-14,92,quantile
2018-09-05,-3324.6422697632997,19920.49801421053,-324.72860175990456,92,quantile
2018-09-06,-4890.058761744506,19433.71689065765,-100.90970477340423,92,quantile
2018-09-07,-1885.5948580939616,19047.421202047386,-176.69315523456874,92,quantile
2018-09-10,-11.492239334107083,20000.0,2.5579538487363607e-13,94,quantile
2018-09-11,-841.2894245296397,19697.09630253499,-126.1086879439053,94,quantile
2018-09-12,2531.6001004849686,19262.926489581805,-298.05026766470826,94,quantile
2018-09-13,922.7126779328388,18696.05653758529,-581.4828796510468,94,quantile
2018-09-14,3089.0786348508864,18185.002633208238,-446.8144044514778,94,quantile
2018-09-17,-2768.437861258464,20000.0,1.1368683772161603e-13,94,quantile
2018-09-18,-12852.820315295612,19501.783404876976,136.00554249421862,94,quantile
2018-09-19,15032.225788089685,19489.12052319752,-261.4446925445194,94,quantile
2018-09-20,-9465.38681129005,18734.902747301912,-301.70055407394597,94,quantile
2018-09-21,28767.9504571929,18317.914383920346,60.857637795632655,94,quantile
