date,net_pnl,gross_vega,net_vega,positions,signal,book
2018-07-09,0.0,20000.0,1.4210854715202004e-13,94,vrp_raw,quantile
2018-07-10,-37.05598373520536,19531.76983360266,-96.97185401078286,94,vrp_raw,quantile
2018-07-11,3360.0721425181614,19570.110437704006,-152.34440134377942,94,vrp_raw,quantile
2018-07-12,-2974.3982084098343,19031.644345683497,-257.82909881556657,94,vrp_raw,quantile
2018-07-13,-3651.5665163685953,18441.79326717516,-275.88025785775756,94,vrp_raw,quantile
2018-07-16,1827.962842194456,20000.0,8.526512829121202e-14,92,vrp_raw,quantile
2018-07-17,-5063.722592025974,19339.096450646524,45.46517556093218,92,vrp_raw,quantile
2018-07-18,-4888.051690931185,18672.22118530507,-42.904366966119596,92,vrp_raw,quantile
2018-07-19,-2902.1442369554316,19550.163850404795,1405.4086222029625,92,vrp_raw,quantile
2018-07-20,-4830.799696146024,19133.519806822613,1557.1866834260434,92,vrp_raw,quantile
2018-07-23,-10425.558405237207,20000.0,2.842170943040401e-14,92,vrp_raw,quantile
2018-07-24,-1968.051879585732,19988.58820465428,237.3028851544616,92,vrp_raw,quantile
2018-07-25,-19095.77997154158,18338.40621362049,57.854824197602056,92,vrp_raw,quantile
2018-07-26,18496.957110088722,18290.271345305762,630.6456254104244,92,vrp_raw,quantile
2018-07-27,-16008.41940906796,17573.780145725264,471.0014219599113,92,vrp_raw,quantile
2018-07-30,-12445.50406724791,20000.0,0.0,94,vrp_raw,quantile
2018-07-31,16250.184104045506,19661.530077265164,-24.035890857854184,94,vrp_raw,quantile
2018-08-01,-17217.476597693632,19269.737572281236,180.99469400729717,94,vrp_raw,quantile
2018-08-02,9900.485623081197,18861.03587166449,304.642023452915,94,vrp_raw,quantile
2018-08-03,-22750.586790308073,18200.12699041416,511.26894483336395,94,vrp_raw,quantile
2018-08-06,935.9639399049312,20000.0,1.1368683772161603e-13,94,vrp_raw,quantile
2018-08-07,1619.5798876145109,19531.702354528315,-464.67135404654107,94,vrp_raw,quantile
2018-08-08,14452.616997449171,19375.556318634586,109.35727334844864,94,vrp_raw,quantile
2018-08-09,-95.10202794065424,18840.489623461483,-33.971311209051066,94,vrp_raw,quantile
2018-08-10,-11993.334760562228,19149.24524339853,758.0796507807165,94,vrp_raw,quantile
2018-08-13,-4674.157570678088,20000.0,-8.526512829121202e-14,94,vrp_raw,quantile
2018-08-14,-12927.388033705556,19652.560377721802,785.484543707775,94,vrp_raw,quantile
2018-08-15,439.49080106688336,19513.448742056764,1217.6534050771445,94,vrp_raw,quantile
2018-08-16,-4647.759948010144,18576.984508933096,974.2818789904231,94,vrp_raw,quantile
2018-08-17,-6022.81410559963,17792.567506283234,1058.7621020539993,94,vrp_raw,quantile
2018-08-20,-9380.826445634824,20000.0,-1.4210854715202004e-13,92,vrp_raw,quantile
2018-08-21,-2169.9105710179674,19380.33471355998,542.6447118283892,92,vrp_raw,quantile
2018-08-22,4937.777191807097,18920.249494340165,745.285634277398,92,vrp_raw,quantile
2018-08-23,-9206.664267429274,19489.598979637438,1975.9260119955816,92,vrp_raw,quantile
2018-08-24,6680.485749304007,19228.737607537732,2351.62406302463,92,vrp_raw,quantile
2018-08-27,2879.5996478204606,20000.0,0.0,94,vrp_raw,quantile
2018-08-28,-11083.603048959261,18927.923275345234,-625.6970793758776,94,vrp_raw,quantile
2018-08-29,11826.813706181027,23233.48353000408,5014.018097681113,94,vrp_raw,quantile
2018-08-30,16509.022177412102,23552.156056502936,5567.516261753565,94,vrp_raw,quantile
2018-08-31,10691.576226050993,22690.197267577045,5928.5828485424045,94,vrp_raw,quantile
2018-09-04,-10174.467484597268,20000.0,-1.1368683772161603e-13,92,vrp_raw,quantile
2018-09-05,3911.3669891819986,19993.987195740847,178.3782572577242,92,vrp_raw,quantile
2018-09-06,-5792.976503827939,19547.860447953117,527.0009468529852,92,vrp_raw,quantile
2018-09-07,-4333.172797522292,19119.35186434997,659.7802375806149,92,vrp_raw,quantile
2018-09-10,10432.340235180904,20000.0,2.842170943040401e-14,94,vrp_raw,quantile
2018-09-11,12240.506195549533,19821.24673818204,-26.228724171954752,94,vrp_raw,quantile
2018-09-12,998.5241900771297,19659.344832013503,-211.3859148162267,94,vrp_raw,quantile
2018-09-13,-10813.662382816987,19186.506028114858,-304.9733489673084,94,vrp_raw,quantile
2018-09-14,-98.65505717931683,18731.9924337418,-254.63041024006557,94,vrp_raw,quantile
2018-09-17,-607.3312103992233,20000.0,1.4210854715202004e-13,94,vrp_raw,quantile
2018-09-18,-14060.43825467764,19512.65689561423,46.77813589705488,94,vrp_raw,quantile
2018-09-19,6024.989178595857,19275.61674986968,-96.72535320656888,94,vrp_raw,quantile
2018-09-20,-13275.62093527974,18867.91908085047,-312.6871303180459,94,vrp_raw,quantile
2018-09-21,17539.456670592885,18309.707145408865,-180.16579836621193,94,vrp_raw,quantile
2018-09-24,-4416.772364103138,20000.0,-5.684341886080802e-14,92,vrp_raw,quantile
2018-09-25,4348.082186304637,19427.58647427529,-113.36922433708142,92,vrp_raw,quantile
2018-09-26,-2505.073084329975,18491.899246837536,-498.77686447404307,92,vrp_raw,quantile
2018-09-27,4422.055549345075,17845.988574636332,-432.1348442080396,92,vrp_raw,quantile
2018-09-28,-3753.9360485017014,16984.579605450068,-45.58424620607778,92,vrp_raw,quantile
2018-10-01,16570.774545722063,20000.0,8.526512829121202e-14,94,vrp_raw,quantile
2018-10-02,1044.8615726084267,19351.443512908165,71.25447659256804,94,vrp_raw,quantile
2018-10-03,210.71139092804356,19181.03107375945,71.65933125188849,94,vrp_raw,quantile
2018-10-04,-6151.997172622974,18520.093160253557,353.1425463982923,94,vrp_raw,quantile
2018-10-05,1005.8098373299076,17947.878981911796,260.16544599758987,94,vrp_raw,quantile
2018-10-08,264.2814104393659,20000.0,1.1368683772161603e-13,94,vrp_raw,quantile
2018-10-09,4452.670956796627,19070.36356333395,-28.03418737486402,94,vrp_raw,quantile
2018-10-10,-9689.165330215132,19163.481716193844,666.782514234441,94,vrp_raw,quantile
2018-10-11,13430.06826948061,19227.351836825947,1293.5940841378285,94,vrp_raw,quantile
2018-10-12,-6821.185384546022,19475.480003098735,679.927035709543,94,vrp_raw,quantile
2018-10-15,2627.8814347276525,20000.0,8.526512829121202e-14,94,vrp_raw,quantile
2018-10-16,-2877.47790958577,21113.996762580256,867.7198450545204,94,vrp_raw,quantile
2018-10-17,-7600.750247809949,20291.702114258267,863.7833608968255,94,vrp_raw,quantile
2018-10-18,13036.376250769976,19179.744753671894,331.22776830028545,94,vrp_raw,quantile
2018-10-19,-432.06592263728146,19728.911394408333,1295.0495746629026,94,vrp_raw,quantile
2018-10-22,-2729.31536375516,20000.0,-1.1368683772161603e-13,94,vrp_raw,quantile
2018-10-23,17005.70407741766,22083.195433118843,1072.1489683016712,94,vrp_raw,quantile
2018-10-24,-13898.335180544174,22514.261083056863,2220.8869629117485,94,vrp_raw,quantile
2018-10-25,16826.626442179506,23514.696924192547,2662.4702063146065,94,vrp_raw,quantile
2018-10-26,23810.054123122238,25558.419631566157,1555.6122280734496,94,vrp_raw,quantile
2018-10-29,-5240.23364372909,20000.0,5.684341886080802e-14,96,vrp_raw,quantile
2018-10-30,7875.488856496922,19933.137657294345,67.0023782858998,96,vrp_raw,quantile
2018-10-31,70234.64623558789,20865.672745089152,1391.2916733244854,96,vrp_raw,quantile
2018-11-01,17788.99048034957,20461.123895364668,1354.8408233211546,96,vrp_raw,quantile
