decile,gross_fwd_pnl_per_vega,net_fwd_pnl_per_vega,gross_t_stat,mean_names,dates,signal
1,2.238093332103766,-21.37390238227612,6.399796999786103,48.40070713022982,1697,vrp_raw
2,2.7379500079868024,-18.584846902140516,7.751541233946949,48.94048320565704,1697,vrp_raw
3,2.6701249831092855,-17.89719733507482,7.874911257496702,48.85209192692987,1697,vrp_raw
4,2.5420140919692713,-17.91381496716504,7.818718420483948,48.89510901591043,1697,vrp_raw
5,2.2651717749903124,-18.154348691889354,7.187348111364528,49.01767825574543,1697,vrp_raw
6,2.3012424234756104,-17.92281402969064,7.358667665180792,48.73836181496759,1697,vrp_raw
7,2.3316189080702068,-17.613620396229884,7.299696445791503,48.8161461402475,1697,vrp_raw
8,2.262962526349726,-17.92960679164505,7.2782441960670115,48.93105480259281,1697,vrp_raw
9,2.041951492434428,-18.550516569019376,6.579732411490252,48.86152032999411,1697,vrp_raw
10,0.5894131862555793,-26.473222213895617,1.8373752754538855,49.28815556865056,1697,vrp_raw
1,2.2146365413272777,-17.51262285055407,6.828838949201802,45.90984089569829,1697,vrp
2,2.510608682842167,-16.912349446764114,7.767016772767879,46.37301119622864,1697,vrp
3,2.558566295167282,-17.029432916608833,7.8294018373229965,46.2981732469063,1697,vrp
4,2.5086886890574625,-17.367696084730344,7.595849298518226,46.39068945197407,1697,vrp
5,2.4792181117750114,-17.83474297239911,7.458679528044058,46.48084855627578,1697,vrp
6,2.4769775097314657,-18.072153432614957,7.503861375747711,46.18738951090159,1697,vrp
7,2.2356180721005137,-18.283169562937374,6.923810632907357,46.30524454920448,1697,vrp
8,1.9634374268677177,-18.817827668497557,6.2295112191251745,46.3836181496759,1697,vrp
9,1.8915728250950616,-20.213610824174854,5.9918536157044375,46.287566293459044,1697,vrp
10,0.40553890267507764,-27.425205675058024,1.2425235209824341,46.79434295816146,1697,vrp
